source_type,identifier,link,paper_relevance,platform,github_stars,readme_present,docs_folder,wiki_present,external_docs_link,primary_doc_location,doc_level,docs_url,tool_notes,domain,domain_justification,interaction_level,interaction_justification,threat_model,threat_model_justification,irb_mentioned,irb_justification,consent_model,consent_justification,data_types_collected,data_types_justification,protocols_ports,protocols_justification,data_sensitivity,data_sensitivity_justification,data_minimization,data_minimization_justification,data_retention_policy,data_retention_justification,data_sharing,data_sharing_justification,jurisdiction_legal,jurisdiction_justification,containment_measures,containment_justification,deception_framing,deception_justification,researcher_responsibility,researcher_responsibility_justification,ethical_gaps,ethical_gaps_justification,relevance_to_project,relevance_justification,deployment,deployment_justification,no_external_deployment
Non-Scientific,honeydb,https://honeydb.io/honeydb_agents,,Website,N/A,No,No,No,Yes,External,Moderate,https://honeydb.io/honeydb_agents,External website with documentation; no GitHub README.,IT,Threat intelligence platform collecting data from distributed honeypot sensor network.,Low,Agents collect network traffic from deployed sensors; data aggregated centrally.,Generic internet attackers captured by distributed sensor network.,External website documents sensor deployment and API access.,No,Not available,None,Not documented,"Attacker IP addresses, connection metadata, protocol data from distributed sensors",External website describes aggregated threat intelligence data.,Multiple protocols depending on sensor configuration,Not documented.,Medium,Aggregated from many sensors; attacker IP data pooled without documented anonymization.,Not discussed,Not documented,Not discussed,Not documented,Data shared via public API,HoneyDB provides public threat intelligence API access.,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Aggregates attacker IP data via public API with no documented anonymization or governance.,Public IP data sharing from distributed honeypots without documented governance.,Moderate relevance; distributed sensor aggregation with public sharing has direct HoneySat parallels.,Data aggregation and sharing model relevant to HoneySat threat intelligence pipeline.,Not documented,Not documented,Not documented
Non-Scientific,honeyntp,https://github.com/fygrave/honeyntp,,GitHub,56,Yes,No,No,No,README,Minimal,N/A,Short README; NTP honeypot.,IT,NTP honeypot capturing NTP-based DDoS amplification and scanning traffic.,Low,Emulates NTP server; logs monlist and other amplification query attempts.,DDoS operators and scanners probing for NTP amplification reflectors.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, NTP query types, amplification payloads",Not documented.,NTP (123),Standard NTP port.,Low,NTP query metadata; no personal data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; NTP honeypot could be misused as amplification reflector if misconfigured.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeypot-camera,https://github.com/alexbredo/honeypot-camera,,GitHub,53,Yes,No,No,No,README,Minimal,N/A,Short README; camera honeypot.,IT,IP camera honeypot emulating RTSP and HTTP camera interfaces.,Low,"Simulates IP camera services (RTSP, HTTP); logs access and control attempts.",IoT scanners and attackers targeting IP cameras for surveillance or botnet recruitment.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, RTSP/HTTP access attempts, camera control commands",Not documented.,"HTTP (80), RTSP (554)",Standard IP camera ports.,Low,Access attempt metadata; no real video feeds.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; IoT camera honeypot with no ethics documentation.,Not documented,Moderate relevance; IP camera honeypot parallels SweetCam and raises physical-world deception questions analogous to HoneySat.,Physical sensor deception dimension relevant to HoneySat.,Not documented,Not documented,Not documented
Non-Scientific,honeypot-ftp,https://github.com/alexbredo/honeypot-ftp,,GitHub,34,Yes,No,No,No,README,Minimal,N/A,Short README; FTP honeypot.,IT,Simple FTP honeypot logging credential and file access attempts.,Low,Emulates FTP server; logs credentials and command attempts.,Automated scanners brute-forcing FTP credentials or probing for anonymous access.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, usernames, passwords, FTP commands",Not documented.,FTP (21),Standard FTP port.,Low,FTP credential and command logs; no real file system access.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeypots,https://github.com/qeeqbox/honeypots,,GitHub,966,Yes,No,No,No,README,Extensive,N/A,Detailed README with protocol coverage and usage; 20+ protocol honeypot suite.,IT,Highly comprehensive multi-protocol honeypot supporting 20+ services in a single package.,Medium,Supports 20+ protocols with configurable interaction depth; extensive README.,"Broad range of attackers targeting diverse protocols: SSH, FTP, HTTP, SMTP, Telnet, Redis, and more.",README documents all 20+ supported protocols.,No,Not available,None,Not documented,"Attacker IP addresses, credentials, commands, payloads across all 20+ protocols",Not documented; broad multi-protocol logging implied.,"SSH (22), FTP (21), HTTP (80), SMTP (25), Telnet (23), Redis (6379), MySQL (3306), and 13+ more",README lists all supported protocols.,Low,Multi-protocol interaction metadata; no real backend data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; extensive multi-protocol logging without governance; scale of data collection not addressed.,Not documented,HIGH relevance to HoneySat: 20+ protocol support in a single framework directly applicable to HoneySat multi-signal emulation architecture.,Multi-protocol single-deployment architecture is the most technically relevant honeypot for HoneySat design.,Not documented,Not documented,Not documented
Non-Scientific,honeytrap,https://github.com/honeytrap/honeytrap,,GitHub,1.3k,Yes,No,No,Yes,External,Extensive,https://docs.honeytrap.io,README + /docs folder + external documentation links. Feature-rich honeytrap.,IT,Go-based multi-service honeypot with extensive docs; modular sensor and dynamic port binding.,Medium,Supports dynamic port binding and modular service emulation; interacts with multiple protocols.,Diverse internet attackers; honeytrap dynamically opens ports to capture any traffic.,README and external docs.honeytrap.io describe architecture.,No,Not available,None,Not documented,"Attacker IP addresses, full connection payloads across any port, protocol-specific data",Not documented; dynamic port binding means any traffic is captured.,Dynamic — binds any unoccupied TCP/UDP port,README describes dynamic port binding architecture.,Low,Connection payloads across all ports; no real service backends.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; dynamic port binding captures all traffic without targeted governance.,Not documented,Moderate relevance; dynamic port-binding applicable to HoneySat full-spectrum signal capture concept.,Universal port capture design relevant to HoneySat ground station traffic monitoring.,Not documented,Not documented,Not documented
Non-Scientific,HoneyPy,https://github.com/foospidy/HoneyPy,,GitHub,475,Yes,No,No,No,README,Moderate,N/A,"README with setup, plugin info; low interaction Python honeypot.",IT,Low-interaction Python honeypot supporting multiple service plugins.,Low,Plugin-based service emulation across multiple protocols; configurable per plugin.,Generic internet automated scanners across multiple protocols.,README describes plugin architecture.,No,Not available,None,Not documented,"Attacker IP addresses, protocol interaction data per plugin",Not documented.,"Plugin-dependent; SSH, Telnet, HTTP configurable",Not documented.,Low,Plugin-dependent interaction metadata.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Honeygrove,https://github.com/UHH-ISS/honeygrove,,GitHub,20,Yes,No,No,No,README,Minimal,N/A,README with setup; multi-purpose Twisted-based honeypot.,IT,Twisted framework multi-purpose honeypot with Kibana integration.,Low,Emulates multiple services; logs to Kibana-compatible backend.,Generic internet automated scanners.,README describes Twisted architecture and Kibana integration.,No,Not available,None,Not documented,"Attacker IP addresses, service interaction data",Not documented.,"Configurable (SSH, Telnet, HTTP, and others)",Not documented.,Low,Service interaction metadata.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Honeyport,https://github.com/securitygeneration/Honeyport,,GitHub,47,Yes,No,No,No,README,Minimal,N/A,Short README; simple honeyport in Bash/Python.,IT,Simple Bash-based honeyport script blocking IPs that connect to watched ports via iptables.,Low,Listens on configured ports; automatically blacklists connecting IPs via iptables.,Automated port scanners and attackers probing unused network ports.,Not documented.,No,Not available,None,Not documented,Attacker IP addresses (added to iptables blacklist),Not documented.,Configurable ports,Not documented.,Low,IP address logs only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Automatically blacklists IPs — active response with no false-positive discussion; no IRB.,Automated blocking may cause collateral blocking of legitimate scanning tools.,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Honeyprint,https://github.com/glaslos/honeyprint,,GitHub,21,Yes,No,No,No,README,Minimal,N/A,Short README; printer honeypot.,IT,Printer honeypot emulating network printer interfaces to log printer-targeting attacks.,Low,"Emulates network printer protocols (IPP, LPD); logs access attempts.",Attackers and scanners targeting network printers.,Not documented.,No,Not available,None,Not documented,"Attacker IP addresses, printer protocol requests",Not documented.,"IPP (631), LPD (515)",Standard printer ports.,Low,Printer protocol request metadata only.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
